epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.41403,1.6195,4.11519,1.27238,0.0023,0.2,0.00533,0.00247,1.60047,3.86483,1.1716,1.111e-05,1.111e-05,1.111e-05
2,16.4528,1.57965,4.03496,1.25831,0.0042,0.23333,0.01158,0.00355,1.54725,3.84619,1.13976,3.22301e-05,3.22301e-05,3.22301e-05
3,24.2026,1.52655,3.85262,1.29759,0.0024,0.2,0.02132,0.01093,1.44775,3.83404,1.0941,5.18837e-05,5.18837e-05,5.18837e-05
4,31.9797,1.40137,3.67459,1.17941,0.00247,0.2,0.17144,0.10474,1.30957,3.80673,1.04506,7.00708e-05,7.00708e-05,7.00708e-05
5,39.6006,1.28678,3.38758,1.12474,0.00264,0.2,0.199,0.13609,1.20286,3.77866,1.00752,8.67913e-05,8.67913e-05,8.67913e-05
6,47.2393,1.23604,3.02679,1.05838,0.00545,0.3,0.23428,0.14831,1.11341,3.75017,0.97139,0.000102045,0.000102045,0.000102045
7,54.9189,1.27488,2.72629,1.0793,0.01088,0.5,0.27872,0.18807,1.05839,3.68195,0.93846,0.000115833,0.000115833,0.000115833
8,62.5892,1.24066,2.39748,1.03765,0.0152,0.7,0.35605,0.24208,1.10372,3.58602,0.93706,0.000128154,0.000128154,0.000128154
9,70.0966,1.28117,2.09341,1.08805,0.01583,0.73333,0.38132,0.2611,1.09515,3.5575,0.94045,0.000139008,0.000139008,0.000139008
10,77.3988,1.27126,1.94282,1.09388,0.01551,0.73333,0.43782,0.30572,1.07361,3.52518,0.9336,0.000148396,0.000148396,0.000148396
11,84.8325,1.12745,1.74948,1.06501,0.01578,0.76667,0.47136,0.3302,1.09769,3.45588,0.92728,0.000156318,0.000156318,0.000156318
12,92.5203,1.25091,1.86194,1.19332,0.01548,0.76667,0.47139,0.32997,1.08991,3.40792,0.91929,0.000162773,0.000162773,0.000162773
13,99.9746,1.22281,1.5963,1.10103,0.01582,0.8,0.48114,0.33354,1.06857,3.3793,0.9079,0.000167761,0.000167761,0.000167761
14,107.604,1.14333,1.54697,1.05238,0.01562,0.8,0.51769,0.34712,1.0666,3.33733,0.90348,0.000171283,0.000171283,0.000171283
15,115.24,1.16495,1.48141,1.07417,0.01629,0.86667,0.55643,0.3837,1.07686,3.29933,0.90248,0.000173338,0.000173338,0.000173338
16,122.905,1.16239,1.40866,1.10985,0.01709,0.93333,0.57136,0.38449,1.08861,3.25422,0.90197,0.000173927,0.000173927,0.000173927
17,130.455,1.13864,1.43946,1.04441,0.01734,0.96667,0.54873,0.36646,1.1094,3.20302,0.90251,0.000173049,0.000173049,0.000173049
18,138.016,1.12908,1.44349,1.06144,0.01771,1,0.5254,0.3417,1.13708,3.14854,0.90312,0.000170705,0.000170705,0.000170705
19,145.34,1.14184,1.381,1.09966,0.48465,0.6,0.55307,0.37543,1.15322,3.11696,0.90492,0.000166894,0.000166894,0.000166894
20,152.815,1.16849,1.33084,1.04792,0.98116,0.4,0.59002,0.40121,1.16433,3.09296,0.90992,0.000161617,0.000161617,0.000161617
21,160.772,1.11924,1.28786,1.09054,1,0.26788,0.60983,0.41237,1.16788,3.0658,0.90721,0.000154873,0.000154873,0.000154873
22,168.551,1.08472,1.21655,1.07984,1,0.21129,0.646,0.43916,1.16497,3.05111,0.90885,0.000146663,0.000146663,0.000146663
23,176.134,1.09962,1.16355,1.07254,1,0.18235,0.66145,0.46017,1.15713,3.03956,0.90572,0.000136986,0.000136986,0.000136986
24,183.955,1.11613,1.10423,1.10777,1,0.12313,0.66806,0.46068,1.15459,3.03172,0.90803,0.000125843,0.000125843,0.000125843
25,191.368,1.06177,1.0618,1.06008,1,0.19045,0.68273,0.45101,1.17172,3.00499,0.91037,0.000113233,0.000113233,0.000113233
26,198.703,1.0793,1.06859,1.06301,1,0.25499,0.68875,0.46371,1.17343,2.98138,0.91464,9.91567e-05,9.91567e-05,9.91567e-05
27,206.187,1.04359,1.04688,1.06112,1,0.30241,0.69842,0.46726,1.17609,2.9235,0.92405,8.36139e-05,8.36139e-05,8.36139e-05
28,213.724,1.06959,1.03072,1.0861,1,0.30241,0.69842,0.46726,1.17609,2.9235,0.92405,6.66044e-05,6.66044e-05,6.66044e-05
29,221.229,1.08111,1.01946,1.08915,0.99874,0.33105,0.72223,0.48855,1.18076,2.86504,0.92928,4.81285e-05,4.81285e-05,4.81285e-05
30,228.882,1.05478,0.99345,1.09811,0.99583,0.4,0.73268,0.49689,1.18895,2.79716,0.93854,2.81861e-05,2.81861e-05,2.81861e-05
