epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.85756,1.61997,5.184,1.28269,0,0,0,0,1.99929,5.35732,1.42251,0,0,0
2,10.1991,1.91304,5.47343,1.47475,0,0,0,0,1.96469,5.35496,1.41722,1.07434e-05,1.07434e-05,1.07434e-05
3,14.3233,1.72465,5.30973,1.392,0,0,0,0,1.92438,5.33946,1.39958,2.07535e-05,2.07535e-05,2.07535e-05
4,17.8419,1.91815,5.5336,1.43394,0,0,0,0,1.92972,5.37187,1.3923,3.00303e-05,3.00303e-05,3.00303e-05
5,21.3731,1.5705,5.09671,1.28613,0,0,0,0,1.88665,5.28267,1.35543,3.85739e-05,3.85739e-05,3.85739e-05
6,24.8975,1.79614,5.28391,1.39754,0,0,0,0,1.85323,5.24915,1.32646,4.63843e-05,4.63843e-05,4.63843e-05
7,28.3229,1.6067,4.9732,1.35651,0,0,0,0,1.84311,5.23413,1.33183,5.34613e-05,5.34613e-05,5.34613e-05
8,31.941,1.77942,5.48059,1.30251,0,0,0,0,1.82211,5.33568,1.28991,5.98051e-05,5.98051e-05,5.98051e-05
9,35.3875,1.42792,4.80496,1.14502,0,0,0,0,1.80751,5.13006,1.23802,6.54157e-05,6.54157e-05,6.54157e-05
10,39.5099,1.53894,4.72319,1.12825,0,0,0,0,1.76643,4.98818,1.17134,7.0293e-05,7.0293e-05,7.0293e-05
11,43.0721,1.42835,4.47603,1.23706,0,0,0,0,1.77049,4.93902,1.16935,7.4437e-05,7.4437e-05,7.4437e-05
12,46.527,1.51796,4.56577,1.16424,0,0,0,0,1.73887,4.9061,1.15194,7.78478e-05,7.78478e-05,7.78478e-05
13,49.9589,1.39512,4.18433,1.06451,0,0,0,0,1.69627,4.8998,1.13464,8.05253e-05,8.05253e-05,8.05253e-05
14,53.4478,1.83834,4.44553,1.15868,0,0,0,0,1.66793,4.83454,1.09828,8.24695e-05,8.24695e-05,8.24695e-05
15,56.8271,1.47123,3.89939,1.07094,0,0,0,0,1.63262,4.81331,1.09004,8.36805e-05,8.36805e-05,8.36805e-05
16,60.3081,1.49838,3.69742,1.0632,0,0,0,0,1.59805,4.80775,1.08015,8.41583e-05,8.41583e-05,8.41583e-05
17,63.6649,1.51866,3.46601,1.25018,0,0,0,0,1.55528,4.82446,1.07603,8.39027e-05,8.39027e-05,8.39027e-05
18,67.2765,1.39234,4.11845,1.21076,0,0,0,0,1.55528,4.82446,1.07603,8.29139e-05,8.29139e-05,8.29139e-05
19,70.9729,1.46927,3.81792,1.06102,0,0,0,0,1.52275,4.83064,1.06855,8.11919e-05,8.11919e-05,8.11919e-05
20,74.5671,1.5377,3.72587,1.0476,0,0,0,0,1.52275,4.83064,1.06855,7.87366e-05,7.87366e-05,7.87366e-05
21,78.0699,1.66664,4.39668,1.30227,0,0,0,0,1.4899,4.84102,1.05963,7.5548e-05,7.5548e-05,7.5548e-05
22,81.5641,1.3667,4.3708,1.11927,0,0,0,0,1.4899,4.84102,1.05963,7.16262e-05,7.16262e-05,7.16262e-05
23,85.0421,1.38371,4.55182,1.16884,0,0,0,0,1.46461,4.84552,1.05013,6.69711e-05,6.69711e-05,6.69711e-05
24,88.4751,1.30784,4.17309,1.01778,0,0,0,0,1.46461,4.84552,1.05013,6.15827e-05,6.15827e-05,6.15827e-05
25,91.8839,1.53848,4.57634,1.15831,0,0,0,0,1.45174,4.83495,1.0443,5.54611e-05,5.54611e-05,5.54611e-05
26,95.303,1.34812,4.79552,1.03343,0,0,0,0,1.45174,4.83495,1.0443,4.86062e-05,4.86062e-05,4.86062e-05
27,99.0029,1.30104,3.76224,1.12649,0,0,0,0,1.44755,4.825,1.04192,4.10181e-05,4.10181e-05,4.10181e-05
28,102.396,1.2927,3.83732,1.02088,0,0,0,0,1.44755,4.825,1.04192,3.26967e-05,3.26967e-05,3.26967e-05
29,105.858,1.2861,3.87563,1.04943,0,0,0,0,1.45137,4.81146,1.04157,2.36421e-05,2.36421e-05,2.36421e-05
30,109.469,1.36219,4.02685,1.18027,0,0,0,0,1.45137,4.81146,1.04157,1.38542e-05,1.38542e-05,1.38542e-05
