epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2877,1.50057,4.12414,1.23082,0.00349,0.47778,0.13293,0.06732,1.3923,3.98365,1.05075,8.888e-05,8.888e-05,8.888e-05
2,88.3092,1.38301,2.93059,1.17756,0.00531,0.94444,0.2791,0.15741,1.0451,3.83645,0.94926,0.000182637,0.000182637,0.000182637
3,130.478,1.32296,2.30684,1.11226,0.00547,1,0.40564,0.24092,1.04412,3.80183,0.95523,0.000269795,0.000269795,0.000269795
4,174.636,1.30941,2.02557,1.12421,0.00547,1,0.53401,0.30648,1.08198,3.60702,0.95626,0.000350354,0.000350354,0.000350354
5,219.275,1.23915,1.7824,1.06988,0.00478,0.89444,0.54644,0.32196,1.14076,3.75738,0.98458,0.000424313,0.000424313,0.000424313
6,262.915,1.20801,1.55857,1.09244,0.00468,0.86667,0.51872,0.30167,1.25119,4.04165,1.05216,0.000491673,0.000491673,0.000491673
7,305.968,1.2227,1.42644,1.07786,0.95632,0.22798,0.75006,0.44564,1.17118,3.59379,1.03348,0.000552434,0.000552434,0.000552434
8,348.208,1.22934,1.35187,1.11149,0.00597,1,0.86392,0.51078,1.11663,3.39673,0.9927,0.000606595,0.000606595,0.000606595
9,393.546,1.1786,1.28572,1.09046,0.00631,1,0.94842,0.63063,1.12662,3.08075,0.99847,0.000654157,0.000654157,0.000654157
10,437.495,1.18398,1.22617,1.07628,0.98405,0.27936,0.97381,0.64691,1.16296,2.64318,1.03131,0.000695119,0.000695119,0.000695119
11,480.571,1.16472,1.1806,1.06037,1,0.50155,0.98141,0.6645,1.14776,2.31225,1.03841,0.000729483,0.000729483,0.000729483
12,522.632,1.13532,1.11675,1.04685,0.93697,0.86401,0.97959,0.64081,1.19964,2.20693,1.07042,0.000707707,0.000707707,0.000707707
13,564.801,1.19052,1.10001,1.0715,0.89602,0.90167,0.958,0.63878,1.19701,1.59985,1.07635,0.000671044,0.000671044,0.000671044
14,606.961,1.1385,1.05132,1.05153,0.84506,0.85223,0.92365,0.61536,1.12109,1.78134,1.01992,0.000634381,0.000634381,0.000634381
15,649.117,1.11473,1.07523,1.03208,0.9205,0.96851,0.98251,0.65833,1.18364,1.50884,1.03346,0.000597718,0.000597718,0.000597718
16,693.116,1.13967,1.02873,1.05769,0.93207,0.98152,0.995,0.66988,1.15624,1.2459,1.00657,0.000561055,0.000561055,0.000561055
17,735.572,1.0781,0.98326,1.04508,0.93894,0.98713,0.995,0.70727,1.11567,1.09632,1.0157,0.000524392,0.000524392,0.000524392
18,777.317,1.08866,0.95218,1.03858,0.95996,0.99382,0.995,0.68532,1.12875,1.1429,1.0254,0.000487729,0.000487729,0.000487729
19,819.037,1.127,0.99876,1.07181,0.96645,0.99125,0.995,0.67884,1.17075,1.12237,1.02231,0.000451066,0.000451066,0.000451066
20,860.803,1.10109,1.02623,1.02382,0.96492,1,0.995,0.68279,1.0623,0.99876,1.01251,0.000414403,0.000414403,0.000414403
21,903.204,1.09702,1.14829,1.08293,0.96355,1,0.995,0.67871,1.07811,0.96656,0.99747,0.00037774,0.00037774,0.00037774
22,945.025,1.10837,1.18646,1.05763,0.96713,1,0.995,0.6741,1.14751,0.98401,1.0148,0.000341077,0.000341077,0.000341077
23,986.655,1.08371,1.11954,1.05542,0.96329,1,0.995,0.68037,1.13707,0.98036,1.02416,0.000304414,0.000304414,0.000304414
24,1029.03,1.09008,1.13367,1.07494,0.98314,0.98259,0.995,0.69307,1.10475,0.96797,1.02422,0.000267751,0.000267751,0.000267751
25,1071.42,1.03813,1.08142,1.05416,0.96956,1,0.995,0.69783,1.04423,0.96252,0.99759,0.000231088,0.000231088,0.000231088
26,1113.89,1.03711,1.06952,1.04662,0.97056,1,0.995,0.69977,1.05955,0.91237,0.9864,0.000194425,0.000194425,0.000194425
27,1155.91,1.03875,1.05457,1.03602,0.97793,1,0.995,0.70425,1.05823,0.90637,0.98807,0.000157762,0.000157762,0.000157762
28,1198.15,1.03274,1.04253,1.0566,0.98451,1,0.995,0.70748,1.0521,0.8871,0.98762,0.000121099,0.000121099,0.000121099
29,1240.77,0.99688,1.01032,1.02005,0.9849,0.99605,0.995,0.70919,1.04925,0.86919,0.98284,8.4436e-05,8.4436e-05,8.4436e-05
30,1282.44,1.01535,1.02592,1.04529,0.9827,0.996,0.995,0.70974,1.05023,0.86099,0.98096,4.7773e-05,4.7773e-05,4.7773e-05
