epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.59333,1.59917,5.01651,1.25865,0,0,0,0,2.2743,5.45664,1.71182,0,0,0
2,8.58331,1.72221,5.40406,1.36751,0,0,0,0,2.25412,5.46315,1.70614,1.07434e-05,1.07434e-05,1.07434e-05
3,11.8683,1.76772,5.18411,1.34808,0,0,0,0,2.17594,5.41068,1.59175,2.07535e-05,2.07535e-05,2.07535e-05
4,15.1647,1.87892,5.28281,1.4226,0,0,0,0,2.09207,5.45841,1.56493,3.00303e-05,3.00303e-05,3.00303e-05
5,18.4937,1.51337,5.27894,1.24922,0,0,0,0,2.08044,5.2409,1.45636,3.85739e-05,3.85739e-05,3.85739e-05
6,21.7352,1.72024,4.96772,1.34527,0,0,0,0,2.04313,5.22288,1.42423,4.63843e-05,4.63843e-05,4.63843e-05
7,24.9693,1.61721,4.88894,1.25164,0,0,0,0,2.01579,5.16244,1.35326,5.34613e-05,5.34613e-05,5.34613e-05
8,28.1521,1.78696,5.32625,1.30254,0,0,0,0,2.00052,5.20773,1.32595,5.98051e-05,5.98051e-05,5.98051e-05
9,31.3935,1.47281,4.72955,1.14803,0,0,0,0,1.90765,5.21001,1.23552,6.54157e-05,6.54157e-05,6.54157e-05
10,34.6633,1.71304,4.77088,1.26368,0,0,0,0,2.00508,4.98166,1.23672,7.0293e-05,7.0293e-05,7.0293e-05
11,38.4375,1.50167,4.52311,1.12834,0,0,0,0,1.97637,4.98194,1.22332,7.4437e-05,7.4437e-05,7.4437e-05
12,41.7589,1.55343,4.49574,1.13172,0,0,0,0,1.94574,4.97674,1.20417,7.78478e-05,7.78478e-05,7.78478e-05
13,45.0242,1.36547,4.35032,1.14055,0,0,0,0,1.9085,4.94068,1.18625,8.05253e-05,8.05253e-05,8.05253e-05
14,48.3645,1.71492,4.40899,1.16098,0,0,0,0,1.87405,4.90706,1.16657,8.24695e-05,8.24695e-05,8.24695e-05
15,51.6921,1.49734,4.19646,1.11678,0,0,0,0,1.84054,4.84547,1.15595,8.36805e-05,8.36805e-05,8.36805e-05
16,55.1432,1.49426,4.37001,1.06424,0,0,0,0,1.81993,4.854,1.13166,8.41583e-05,8.41583e-05,8.41583e-05
17,58.6111,1.63148,3.97579,1.2056,0,0,0,0,1.79226,4.84312,1.12455,8.39027e-05,8.39027e-05,8.39027e-05
18,62.1522,1.41667,4.52677,1.17764,0,0,0,0,1.79226,4.84312,1.12455,8.29139e-05,8.29139e-05,8.29139e-05
19,65.6306,1.51283,4.05505,1.26578,0,0,0,0,1.75363,4.82389,1.13319,8.11919e-05,8.11919e-05,8.11919e-05
20,68.9891,1.39989,4.02485,1.11112,0,0,0,0,1.75363,4.82389,1.13319,7.87366e-05,7.87366e-05,7.87366e-05
21,72.4401,1.48561,4.7649,1.24488,0,0,0,0,1.74167,4.80905,1.12747,7.5548e-05,7.5548e-05,7.5548e-05
22,75.9854,1.22897,4.62653,1.04637,0,0,0,0,1.74167,4.80905,1.12747,7.16262e-05,7.16262e-05,7.16262e-05
23,79.6358,1.37653,4.90334,1.10365,0,0,0,0,1.74538,4.80472,1.10591,6.69711e-05,6.69711e-05,6.69711e-05
24,83.0383,1.24301,4.70164,0.95308,0,0,0,0,1.74538,4.80472,1.10591,6.15827e-05,6.15827e-05,6.15827e-05
25,86.4839,1.42539,5.17188,1.16518,0,0,0,0,1.73859,4.80371,1.10194,5.54611e-05,5.54611e-05,5.54611e-05
26,89.8574,1.35121,4.71168,1.24634,0,0,0,0,1.73859,4.80371,1.10194,4.86062e-05,4.86062e-05,4.86062e-05
27,93.3748,1.29196,4.23462,1.17467,0,0,0,0,1.72991,4.78958,1.09284,4.10181e-05,4.10181e-05,4.10181e-05
28,96.7083,1.20388,4.55231,1.15321,0,0,0,0,1.72991,4.78958,1.09284,3.26967e-05,3.26967e-05,3.26967e-05
29,100.143,1.38368,4.63196,1.18948,0,0,0,0,1.7159,4.78883,1.08918,2.36421e-05,2.36421e-05,2.36421e-05
30,103.449,1.34644,4.48581,1.1077,0,0,0,0,1.7159,4.78883,1.08918,1.38542e-05,1.38542e-05,1.38542e-05
