epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4199,1.07624,3.29384,1.09758,0,0,0,0,0,46.3716,0,4e-05,4e-05,4e-05
2,22.8524,0.61231,2.82026,0.85969,0,0,0,0,0,46.3397,0,9.67e-05,9.67e-05,9.67e-05
3,33.3461,0.433,2.18132,0.83934,0,0,0,0,0,46.3098,0,0.00014944,0.00014944,0.00014944
4,44.2413,0.38785,1.59618,0.83367,0,0,0,0,0,46.2332,0,0.00019822,0.00019822,0.00019822
5,54.1474,0.41849,1.54993,0.80658,0,0,0,0,0,45.0326,0,0.00024304,0.00024304,0.00024304
6,64.114,0.3635,1.36,0.8208,0,0,0,0,0,44.5086,0,0.0002839,0.0002839,0.0002839
7,73.7619,0.32186,1.30434,0.82877,0,0,0,0,0,44.4726,0,0.0003208,0.0003208,0.0003208
8,83.3759,0.31289,1.32469,0.82041,0,0,0,0,0,44.5716,0,0.00035374,0.00035374,0.00035374
9,93.4227,0.37294,1.40277,0.79277,0,0,0,0,0,44.8462,0,0.00038272,0.00038272,0.00038272
10,103.323,0.36193,1.2276,0.81547,0,0,0,0,0,44.8278,0,0.00040774,0.00040774,0.00040774
11,114.494,0.35428,1.49337,0.80829,0,0,0,0,0,45.0953,0,0.0004288,0.0004288,0.0004288
12,125.859,0.3236,1.27233,0.82908,0,0,0,0,0,46.1448,0,0.0004459,0.0004459,0.0004459
13,137.584,0.33014,1.27229,0.82526,0,0,0,0,0,51.1532,0,0.00045904,0.00045904,0.00045904
14,147.961,0.29044,1.27041,0.80968,0,0,0,0,0,54.0917,0,0.00046822,0.00046822,0.00046822
15,158.3,0.31931,1.40863,0.82417,0,0,0,0,0,52.5508,0,0.00047344,0.00047344,0.00047344
16,169.588,0.34853,1.22641,0.80357,0,0,0,0,0,50.6009,0,0.0004747,0.0004747,0.0004747
17,181.244,0.3135,1.25547,0.79761,0,0,0,0,0,49.1972,0,0.000472,0.000472,0.000472
18,193.881,0.28782,1.35298,0.78027,0,0,0,0,0,49.2004,0,0.00046534,0.00046534,0.00046534
19,206.302,0.33644,1.46238,0.82777,0,0,0,0,0,48.8443,0,0.00045472,0.00045472,0.00045472
20,218.238,0.27907,1.31185,0.83733,0,0,0,0,0,49.2803,0,0.00044014,0.00044014,0.00044014
21,228.937,0.27365,1.68221,0.7792,0,0,0,0,0,48.2726,0,0.0004216,0.0004216,0.0004216
22,239.523,0.21932,1.60443,0.83118,0,0,0,0,0,49.3843,0,0.0003991,0.0003991,0.0003991
23,250.879,0.25373,1.60472,0.79848,0,0,0,0,0,50.5713,0,0.00037264,0.00037264,0.00037264
24,261.321,0.23484,1.64574,0.74559,0,0,0,0,0,49.6864,0,0.00034222,0.00034222,0.00034222
25,272.01,0.23627,1.72152,0.77445,0,0,0,0,0,49.2466,0,0.00030784,0.00030784,0.00030784
26,282.224,0.22752,1.65387,0.7628,0,0,0,0,0,49.3623,0,0.0002695,0.0002695,0.0002695
27,291.816,0.23576,1.64099,0.81486,0,0,0,0,0,50.6486,0,0.0002272,0.0002272,0.0002272
28,301.945,0.22986,1.58262,0.73571,0,0,0,0,0,52.9871,0,0.00018094,0.00018094,0.00018094
29,311.486,0.18392,1.46377,0.7721,0,0,0,0,0,52.9871,0,0.00013072,0.00013072,0.00013072
